Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
Scott Redgate,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
Scott Redgate Marketing,Exact match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
